,train,val,test
0,TCGA-AF-2689-11A-01-TS1,TCGA-AA-3495-11A-01-TS1,TCGA-AA-3531-11A-01-TS1
1,TCGA-AG-A020-11A-01-TS1,TCGA-G4-6311-11A-01-TS1,TCGA-AA-3522-11A-01-TS1
2,TCGA-AA-3517-11A-01-TS1,TCGA-A6-2674-01B-03-BS3,TCGA-AA-3697-11A-01-TS1
3,TCGA-AA-3509-01A-01-TS1,TCGA-AA-3495-01A-01-BS1,TCGA-AA-3531-01A-01-BS1
4,TCGA-A6-6648-01A-01-TS1,TCGA-AZ-6599-11A-01-TS1,TCGA-A6-5660-01A-01-BS1
5,TCGA-AA-3502-01A-01-TS1,TCGA-A6-2674-01A-02-BS2,TCGA-AA-A03J-11A-01-BS1
6,TCGA-A6-3809-11A-01-TS1,TCGA-A6-2674-01B-04-BS4,TCGA-A6-5660-01A-01-TS1
7,TCGA-AG-A020-11A-01-BS1,TCGA-G4-6297-11A-01-TS1,TCGA-A6-6652-01A-01-BS1
8,TCGA-AA-3510-11A-01-TS1,TCGA-AA-3521-01A-01-TS1,TCGA-AF-3400-11A-01-TS1
9,TCGA-A6-5665-11A-01-TS1,TCGA-A6-6142-01A-01-BS1,TCGA-A6-6652-01A-01-TS1
10,TCGA-AA-3519-01A-01-BS1,TCGA-A6-2682-11A-01-TS1,TCGA-A6-6653-01A-01-BS1
11,TCGA-A6-4107-01A-01-BS1,TCGA-A6-2685-01A-01-TS1,TCGA-AA-3712-11A-01-TS1
12,TCGA-AA-3524-01A-01-BS1,TCGA-A6-2682-01A-01-TS1,TCGA-AA-3522-01A-01-BS1
13,TCGA-A6-5661-01A-01-TS1,TCGA-A6-2674-01A-01-BS1,TCGA-A6-3810-01B-03-BS3
14,TCGA-AG-3725-11A-01-TS1,TCGA-AH-6643-11A-01-TS1,TCGA-A6-3810-01A-01-TS1
15,TCGA-AG-3742-11A-01-TS1,,TCGA-AA-3522-01A-01-TS1
16,TCGA-A6-6780-01B-03-BS3,,
17,TCGA-A6-2671-01A-01-BS1,,
18,TCGA-A6-3807-01A-01-TS1,,
19,TCGA-AA-3492-11A-01-TS1,,
20,TCGA-AA-3713-11A-01-TS1,,
21,TCGA-AA-A01Z-11A-01-BS1,,
22,TCGA-AG-A01W-11A-01-BS1,,
23,TCGA-AA-A01S-11A-02-BS2,,
24,TCGA-AG-A020-11A-01-TS14,,
25,TCGA-AA-3518-01A-01-BS1,,
26,TCGA-AA-3662-11A-01-TS1,,
27,TCGA-A6-4107-11A-01-BS1,,
28,TCGA-A6-3809-01A-01-TS1,,
29,TCGA-AG-A036-11A-01-BS1,,
30,TCGA-AA-3514-11A-01-TS1,,
31,TCGA-A6-6141-01A-01-TS1,,
32,TCGA-AA-3655-11A-01-TS1,,
33,TCGA-A6-5657-01A-01-BS1,,
34,TCGA-AA-3526-11A-01-TS1,,
35,TCGA-A6-6648-01A-01-BS1,,
36,TCGA-A6-2680-11A-01-TS1,,
37,TCGA-AA-3489-01A-01-BS1,,
38,TCGA-AA-3492-01A-01-TS1,,
39,TCGA-AA-3514-01A-02-BS2,,
40,TCGA-A6-2684-01A-01-TS1,,
41,TCGA-A6-2681-11A-01-TS1,,
42,TCGA-AA-3519-11A-01-TS1,,
43,TCGA-AG-A02N-11A-01-BS1,,
44,TCGA-A6-4107-11A-01-TS1,,
45,TCGA-AG-A01W-11A-01-BS18,,
