,train,val,test
TCGA-AA-3526-11A-01-TS1,True,False,False
TCGA-AA-3532-11A-01-TS1,True,False,False
TCGA-AA-3534-11A-01-TS1,True,False,False
TCGA-AA-3662-11A-01-TS1,True,False,False
TCGA-AA-3663-11A-01-TS1,True,False,False
TCGA-AA-3697-11A-01-TS1,True,False,False
TCGA-AA-3712-11A-01-TS1,True,False,False
TCGA-AA-3713-11A-01-TS1,True,False,False
TCGA-AA-A01P-11A-01-BS1,True,False,False
TCGA-AA-A01R-11A-01-BS1,True,False,False
TCGA-AA-A01R-11A-01-TS1,True,False,False
TCGA-AA-A01S-11A-02-BS2,True,False,False
TCGA-AA-A01T-11A-01-BS1,True,False,False
TCGA-AA-A01T-11A-01-TS1,True,False,False
TCGA-AA-A01V-11A-01-BS1,True,False,False
TCGA-AA-A01V-11A-01-TS1,True,False,False
TCGA-AA-A01X-11A-01-TS1,True,False,False
TCGA-AA-A01X-11A-01-BS1,True,False,False
TCGA-AA-A01Z-11A-01-BS1,True,False,False
TCGA-AA-A01Z-11A-01-TS1,True,False,False
TCGA-AA-A02O-11A-01-TS1,True,False,False
TCGA-AA-A02O-11A-01-BS1,True,False,False
TCGA-AA-A03F-11A-01-BS1,True,False,False
TCGA-AA-A03F-11A-01-TS1,True,False,False
TCGA-AF-2689-11A-01-TS1,True,False,False
TCGA-AF-2691-11A-01-TS1,True,False,False
TCGA-AF-3400-11A-01-TS1,True,False,False
TCGA-AF-3913-11A-01-BS1,True,False,False
TCGA-AF-3913-11A-01-TS1,True,False,False
TCGA-AF-3914-11A-01-TS1,True,False,False
TCGA-AF-3914-11A-01-BS1,True,False,False
TCGA-AF-5654-11A-01-TS1,True,False,False
TCGA-AG-3725-11A-01-TS1,True,False,False
TCGA-AG-3731-11A-01-TS1,True,False,False
TCGA-AG-3742-11A-01-TS1,True,False,False
TCGA-AG-A01Y-11A-01-BS1,True,False,False
TCGA-AG-A01Y-11A-01-TS1,True,False,False
TCGA-AG-A020-11A-01-TS1,True,False,False
TCGA-AG-A020-11A-01-BS1,True,False,False
TCGA-AG-A020-11A-01-TS14,True,False,False
TCGA-AG-A020-11A-01-BS16,True,False,False
TCGA-AG-A02N-11A-01-TS1,True,False,False
TCGA-AG-A02N-11A-01-BS1,True,False,False
TCGA-AG-A036-11A-01-BS1,True,False,False
TCGA-AG-A036-11A-01-TS1,True,False,False
TCGA-AH-6547-11A-01-TS1,True,False,False
TCGA-AH-6643-11A-01-TS1,True,False,False
TCGA-AZ-6598-11A-01-TS1,True,False,False
TCGA-AZ-6599-11A-01-TS1,True,False,False
TCGA-AZ-6600-11A-01-TS1,True,False,False
TCGA-A6-2671-01A-01-BS1,True,False,False
TCGA-A6-2671-01A-01-TS1,True,False,False
TCGA-A6-2671-11A-01-TS1,True,False,False
TCGA-A6-2674-01B-03-BS3,True,False,False
TCGA-A6-2674-11A-01-TS1,True,False,False
TCGA-A6-2674-01A-02-BS2,True,False,False
TCGA-A6-2674-01B-04-BS4,True,False,False
TCGA-A6-2674-01A-01-BS1,True,False,False
TCGA-A6-2675-11A-01-TS1,True,False,False
TCGA-A6-2675-01A-02-BS2,True,False,False
TCGA-A6-2675-01A-01-BS1,True,False,False
TCGA-A6-2676-11A-01-TS1,True,False,False
TCGA-A6-2676-01A-01-BS1,True,False,False
TCGA-A6-2677-11A-01-TS1,True,False,False
TCGA-A6-2677-01A-01-TS1,True,False,False
TCGA-A6-2677-01A-01-BS1,True,False,False
TCGA-A6-2679-11A-01-TS1,True,False,False
TCGA-A6-2679-01A-02-BS2,True,False,False
TCGA-A6-2679-01A-01-BS1,True,False,False
TCGA-A6-2680-11A-01-TS1,True,False,False
TCGA-A6-2680-01A-01-BS1,True,False,False
TCGA-A6-2680-01A-01-TS1,True,False,False
TCGA-A6-2682-01A-01-BS1,True,False,False
TCGA-A6-2682-11A-01-TS1,True,False,False
TCGA-A6-2682-01A-01-TS1,True,False,False
TCGA-A6-2683-11A-01-TS1,True,False,False
