,train,val,test
TCGA-A6-2672-11A-01-TS1,True,False,False
TCGA-A6-2686-11A-01-TS1,True,False,False
TCGA-A6-5661-11A-01-TS1,True,False,False
TCGA-AA-3516-11A-01-TS1,True,False,False
TCGA-AA-3529-11A-01-TS1,True,False,False
TCGA-AA-3534-11A-01-TS1,True,False,False
TCGA-AA-A01R-11A-01-BS1,True,False,False
TCGA-AA-A01Z-11A-01-TS1,True,False,False
TCGA-AA-A022-11A-01-BS1,True,False,False
TCGA-AA-A03J-11A-01-BS1,True,False,False
TCGA-AF-3400-11A-01-TS1,True,False,False
TCGA-AF-3913-11A-01-TS1,True,False,False
TCGA-AG-A036-11A-01-TS1,True,False,False
TCGA-AH-6547-11A-01-TS1,True,False,False
TCGA-AH-6643-11A-01-TS1,True,False,False
TCGA-A6-2674-01A-02-BS2,True,False,False
TCGA-A6-2674-01B-04-BS4,True,False,False
TCGA-A6-2674-01A-01-BS1,True,False,False
TCGA-A6-2678-01A-01-BS1,True,False,False
TCGA-A6-2680-01A-01-BS1,True,False,False
TCGA-A6-2682-11A-01-TS1,True,False,False
TCGA-A6-2682-01A-01-TS1,True,False,False
TCGA-A6-2683-01A-01-TS1,True,False,False
TCGA-A6-2684-01A-01-BS1,True,False,False
TCGA-A6-2685-01A-01-TS1,True,False,False
TCGA-A6-3807-11A-01-BS1,True,False,False
TCGA-A6-3807-01A-01-BS1,True,False,False
TCGA-A6-3808-01A-01-BS1,True,False,False
TCGA-A6-3808-11A-01-TS1,True,False,False
TCGA-A6-4107-01A-02-BS2,True,False,False
TCGA-A6-5656-01A-01-BS1,True,False,False
TCGA-A6-5660-01A-01-BS1,True,False,False
TCGA-A6-5660-01A-01-TS1,True,False,False
TCGA-A6-5662-01A-01-TS1,True,False,False
TCGA-A6-6142-01A-01-BS1,True,False,False
TCGA-A6-6780-01B-04-BS4,True,False,False
TCGA-AA-3496-01A-01-BS1,True,False,False
TCGA-AA-3496-11A-01-TS1,True,False,False
TCGA-AA-3506-01A-01-TS1,True,False,False
TCGA-AA-3510-01A-01-TS1,True,False,False
TCGA-AA-3510-01A-01-BS1,True,False,False
TCGA-AA-3511-01A-01-BS1,True,False,False
TCGA-AA-3519-01A-02-BS2,True,False,False
TCGA-AA-3520-01A-01-BS1,True,False,False
TCGA-AA-3520-01A-01-TS1,True,False,False
TCGA-AA-3521-01A-01-TS1,True,False,False
TCGA-AA-3522-01A-01-BS1,True,False,False
TCGA-AA-3522-01A-01-TS1,True,False,False
TCGA-AA-3524-11A-01-TS1,False,True,False
TCGA-AG-A01W-11A-01-TS1,False,True,False
TCGA-A6-5659-01B-03-BS3,False,True,False
TCGA-A6-4105-01A-02-BS2,False,True,False
TCGA-A6-4105-01A-01-TS1,False,True,False
TCGA-A6-4105-01A-01-BS1,False,True,False
TCGA-A6-2679-11A-01-TS1,False,True,False
TCGA-A6-2679-01A-02-BS2,False,True,False
TCGA-A6-2679-01A-01-BS1,False,True,False
TCGA-A6-2676-11A-01-TS1,False,True,False
TCGA-A6-2676-01A-01-BS1,False,True,False
TCGA-AA-3509-11A-01-TS1,False,False,True
TCGA-AA-3494-11A-01-TS1,False,False,True
TCGA-A6-3810-01B-03-BS3,False,False,True
TCGA-A6-3810-01A-01-TS1,False,False,True
TCGA-A6-5657-01A-01-TS1,False,False,True
TCGA-A6-6652-01A-01-BS1,False,False,True
TCGA-A6-5666-01A-01-BS1,False,False,True
