,train,val,test
0,TCGA-AA-3526-11A-01-TS1,TCGA-AA-3713-11A-01-TS1,TCGA-AA-3529-11A-01-TS1
1,TCGA-AA-3527-11A-01-TS1,TCGA-G4-6297-11A-01-TS1,TCGA-F4-6704-11A-01-TS1
2,TCGA-AA-3534-11A-01-TS1,TCGA-AA-3532-11A-01-TS1,TCGA-AA-A03J-11A-01-BS1
3,TCGA-AA-3655-11A-01-TS1,TCGA-AG-3731-11A-01-TS1,TCGA-AA-A03J-11A-01-TS1
4,TCGA-AA-3660-11A-01-TS1,TCGA-G4-6311-11A-01-TS1,TCGA-AF-3914-11A-01-BS1
5,TCGA-AA-3662-11A-01-TS1,TCGA-AH-6547-11A-01-TS1,TCGA-AF-3914-11A-01-TS1
6,TCGA-AA-3663-11A-01-TS1,TCGA-A6-4105-01A-01-BS1,TCGA-AF-2691-11A-01-TS1
7,TCGA-AA-3697-11A-01-TS1,TCGA-A6-4105-01A-01-TS1,TCGA-G4-6625-11A-01-TS1
8,TCGA-AA-3712-11A-01-TS1,TCGA-A6-4105-01A-02-BS2,TCGA-A6-2686-01A-01-BS1
9,TCGA-AA-A01P-11A-01-BS1,TCGA-A6-5667-01A-01-BS1,TCGA-A6-2686-01A-01-TS1
10,TCGA-AA-A01R-11A-01-BS1,TCGA-A6-5667-11A-01-TS1,TCGA-A6-2686-11A-01-TS1
11,TCGA-AA-A01R-11A-01-TS1,TCGA-A6-6653-01A-01-BS1,TCGA-A6-5660-01A-01-BS1
12,TCGA-AA-A01S-11A-02-BS2,TCGA-AD-6899-01A-01-BS1,TCGA-A6-5660-01A-01-TS1
13,TCGA-AA-A01T-11A-01-BS1,TCGA-AD-6899-01A-01-TS1,TCGA-A6-5660-11A-01-TS1
14,TCGA-AA-A01T-11A-01-TS1,TCGA-A6-4107-01A-01-BS1,TCGA-AD-5900-01A-01-TS1
15,TCGA-AA-A01V-11A-01-BS1,TCGA-A6-4107-01A-02-BS2,TCGA-A6-2680-01A-01-BS1
16,TCGA-AA-A01V-11A-01-TS1,TCGA-A6-4107-11A-01-BS1,TCGA-A6-2680-01A-01-TS1
17,TCGA-AA-A01X-11A-01-BS1,TCGA-A6-4107-11A-01-TS1,TCGA-A6-2680-11A-01-TS1
18,TCGA-AA-A01X-11A-01-TS1,TCGA-AA-3494-01A-01-TS1,TCGA-A6-2674-01A-01-BS1
19,TCGA-AA-A01Z-11A-01-BS1,TCGA-AA-3494-11A-01-TS1,TCGA-A6-2674-01A-02-BS2
20,TCGA-AA-A01Z-11A-01-TS1,TCGA-A6-5665-01A-01-BS1,TCGA-A6-2674-01B-03-BS3
21,TCGA-AA-A022-11A-01-BS1,TCGA-A6-5665-11A-01-TS1,TCGA-A6-2674-01B-04-BS4
22,TCGA-AA-A022-11A-01-TS1,TCGA-A6-3808-01A-01-BS1,TCGA-A6-2674-11A-01-TS1
23,TCGA-AA-A02O-11A-01-BS1,TCGA-A6-3808-01A-01-TS1,TCGA-AA-3506-01A-01-BS1
24,TCGA-AA-A02O-11A-01-TS1,TCGA-A6-3808-11A-01-BS1,TCGA-AA-3506-01A-01-TS1
25,TCGA-AA-A03F-11A-01-BS1,TCGA-A6-3808-11A-01-TS1,TCGA-AA-3506-11A-01-TS1
26,TCGA-AA-A03F-11A-01-TS1,,TCGA-A6-6142-01A-01-BS1
27,TCGA-AF-2689-11A-01-TS1,,TCGA-A6-3809-01A-01-BS1
28,TCGA-AF-2692-11A-01-TS1,,TCGA-A6-3809-01A-01-TS1
29,TCGA-AF-3400-11A-01-TS1,,TCGA-A6-3809-11A-01-BS1
30,TCGA-AF-3913-11A-01-BS1,,TCGA-A6-3809-11A-01-TS1
31,TCGA-AF-3913-11A-01-TS1,,
32,TCGA-AF-5654-11A-01-TS1,,
33,TCGA-AG-3725-11A-01-TS1,,
34,TCGA-AG-3742-11A-01-TS1,,
35,TCGA-AG-A01W-11A-01-BS1,,
36,TCGA-AG-A01W-11A-01-BS18,,
37,TCGA-AG-A01W-11A-01-TS1,,
38,TCGA-AG-A01Y-11A-01-BS1,,
39,TCGA-AG-A01Y-11A-01-TS1,,
40,TCGA-AG-A020-11A-01-BS1,,
41,TCGA-AG-A020-11A-01-BS16,,
42,TCGA-AG-A020-11A-01-TS1,,
43,TCGA-AG-A020-11A-01-TS14,,
44,TCGA-AG-A02N-11A-01-BS1,,
45,TCGA-AG-A02N-11A-01-TS1,,
46,TCGA-AG-A036-11A-01-BS1,,
47,TCGA-AG-A036-11A-01-TS1,,
48,TCGA-AH-6643-11A-01-TS1,,
49,TCGA-AZ-6598-11A-01-TS1,,
50,TCGA-AZ-6599-11A-01-TS1,,
51,TCGA-AZ-6600-11A-01-TS1,,
52,TCGA-A6-2671-01A-01-BS1,,
53,TCGA-A6-2671-01A-01-TS1,,
54,TCGA-A6-2671-11A-01-TS1,,
55,TCGA-A6-2672-01A-01-BS1,,
56,TCGA-A6-2672-01A-01-TS1,,
57,TCGA-A6-2672-11A-01-TS1,,
58,TCGA-A6-2675-01A-01-BS1,,
59,TCGA-A6-2675-01A-02-BS2,,
60,TCGA-A6-2675-11A-01-TS1,,
61,TCGA-A6-2676-01A-01-BS1,,
62,TCGA-A6-2676-11A-01-TS1,,
63,TCGA-A6-2677-01A-01-BS1,,
64,TCGA-A6-2677-01A-01-TS1,,
65,TCGA-A6-2677-11A-01-TS1,,
66,TCGA-A6-2678-01A-01-BS1,,
67,TCGA-A6-2678-01A-01-TS1,,
68,TCGA-A6-2678-11A-01-TS1,,
69,TCGA-A6-2679-01A-01-BS1,,
70,TCGA-A6-2679-01A-02-BS2,,
71,TCGA-A6-2679-11A-01-TS1,,
72,TCGA-A6-2681-01A-01-BS1,,
73,TCGA-A6-2681-11A-01-TS1,,
74,TCGA-A6-2682-01A-01-BS1,,
75,TCGA-A6-2682-01A-01-TS1,,
76,TCGA-A6-2682-11A-01-TS1,,
77,TCGA-A6-2683-01A-01-BS1,,
78,TCGA-A6-2683-01A-01-TS1,,
79,TCGA-A6-2683-11A-01-TS1,,
80,TCGA-A6-2684-01A-01-BS1,,
81,TCGA-A6-2684-01A-01-TS1,,
82,TCGA-A6-2684-11A-01-TS1,,
83,TCGA-A6-2685-01A-01-BS1,,
84,TCGA-A6-2685-01A-01-TS1,,
85,TCGA-A6-2685-11A-01-TS1,,
86,TCGA-A6-3807-01A-01-BS1,,
87,TCGA-A6-3807-01A-01-TS1,,
88,TCGA-A6-3807-11A-01-BS1,,
89,TCGA-A6-3807-11A-01-TS1,,
90,TCGA-A6-3810-01A-01-BS1,,
91,TCGA-A6-3810-01A-01-TS1,,
92,TCGA-A6-3810-01B-03-BS3,,
93,TCGA-A6-3810-11A-01-BS1,,
94,TCGA-A6-3810-11A-01-TS1,,
95,TCGA-A6-5656-01A-01-BS1,,
96,TCGA-A6-5657-01A-01-BS1,,
97,TCGA-A6-5657-01A-01-TS1,,
98,TCGA-A6-5657-11A-01-TS1,,
99,TCGA-A6-5659-01A-01-BS1,,
100,TCGA-A6-5659-01A-01-TS1,,
101,TCGA-A6-5659-01B-03-BS3,,
102,TCGA-A6-5659-11A-01-TS1,,
103,TCGA-A6-5661-01A-01-BS1,,
104,TCGA-A6-5661-01A-01-TS1,,
105,TCGA-A6-5661-11A-01-TS1,,
106,TCGA-A6-5662-01A-01-TS1,,
107,TCGA-A6-5662-11A-01-TS1,,
108,TCGA-A6-5664-01A-01-BS1,,
109,TCGA-A6-5666-01A-01-BS1,,
110,TCGA-A6-5666-01A-01-TS1,,
111,TCGA-A6-5666-11A-01-TS1,,
112,TCGA-A6-6141-01A-01-BS1,,
113,TCGA-A6-6141-01A-01-TS1,,
114,TCGA-A6-6648-01A-01-BS1,,
115,TCGA-A6-6648-01A-01-TS1,,
116,TCGA-A6-6649-01A-01-TS1,,
117,TCGA-A6-6650-01A-01-TS1,,
118,TCGA-A6-6652-01A-01-BS1,,
119,TCGA-A6-6652-01A-01-TS1,,
120,TCGA-A6-6780-01A-01-BS1,,
121,TCGA-A6-6780-01A-01-TS1,,
122,TCGA-A6-6780-01B-03-BS3,,
123,TCGA-A6-6780-01B-04-BS4,,
124,TCGA-AA-3489-01A-01-BS1,,
125,TCGA-AA-3489-01A-02-BS2,,
126,TCGA-AA-3489-11A-01-TS1,,
127,TCGA-AA-3492-01A-01-BS1,,
128,TCGA-AA-3492-01A-01-TS1,,
129,TCGA-AA-3492-11A-01-TS1,,
130,TCGA-AA-3495-01A-01-BS1,,
131,TCGA-AA-3495-01A-01-TS1,,
132,TCGA-AA-3495-11A-01-TS1,,
133,TCGA-AA-3496-01A-01-BS1,,
134,TCGA-AA-3496-01A-02-BS2,,
135,TCGA-AA-3496-11A-01-TS1,,
136,TCGA-AA-3502-01A-01-BS1,,
137,TCGA-AA-3502-01A-01-TS1,,
138,TCGA-AA-3502-11A-01-TS1,,
139,TCGA-AA-3509-01A-01-BS1,,
140,TCGA-AA-3509-01A-01-TS1,,
141,TCGA-AA-3509-11A-01-TS1,,
142,TCGA-AA-3510-01A-01-BS1,,
143,TCGA-AA-3510-01A-01-TS1,,
144,TCGA-AA-3510-11A-01-TS1,,
145,TCGA-AA-3511-01A-01-BS1,,
146,TCGA-AA-3511-01A-02-BS2,,
147,TCGA-AA-3511-11A-01-TS1,,
148,TCGA-AA-3514-01A-01-BS1,,
149,TCGA-AA-3514-01A-02-BS2,,
150,TCGA-AA-3514-11A-01-TS1,,
151,TCGA-AA-3516-01A-01-BS1,,
152,TCGA-AA-3516-11A-01-TS1,,
153,TCGA-AA-3517-01A-01-BS1,,
154,TCGA-AA-3517-01A-01-TS1,,
155,TCGA-AA-3517-11A-01-TS1,,
156,TCGA-AA-3518-01A-01-BS1,,
157,TCGA-AA-3518-01A-02-BS2,,
158,TCGA-AA-3518-11A-01-TS1,,
159,TCGA-AA-3519-01A-01-BS1,,
160,TCGA-AA-3519-01A-02-BS2,,
161,TCGA-AA-3519-11A-01-TS1,,
162,TCGA-AA-3520-01A-01-BS1,,
163,TCGA-AA-3520-01A-01-TS1,,
164,TCGA-AA-3520-11A-01-TS1,,
165,TCGA-AA-3521-01A-01-BS1,,
166,TCGA-AA-3521-01A-01-TS1,,
167,TCGA-AA-3521-11A-01-TS1,,
168,TCGA-AA-3522-01A-01-BS1,,
169,TCGA-AA-3522-01A-01-TS1,,
170,TCGA-AA-3522-11A-01-TS1,,
171,TCGA-AA-3524-01A-01-BS1,,
172,TCGA-AA-3524-11A-01-TS1,,
173,TCGA-AA-3525-01A-02-BS2,,
174,TCGA-AA-3525-11A-01-TS1,,
