,train,val,test
TCGA-AA-3831-01A-01-BS1.f637edf0-7e48-4bc6-ac59-d5f99f44702f,True,False,False
TCGA-AA-3831-01A-01-TS1.4b07ed6e-eba2-4b31-9091-f0794ea5f293,True,False,False
TCGA-AA-3837-01A-01-BS1.0e6224c0-cf59-4778-8f1f-1f931cb04202,True,False,False
TCGA-AA-3837-01A-01-TS1.7a9592ab-000f-42e0-9b0f-4a27bf3dbf65,True,False,False
TCGA-AA-3837-01Z-00-DX1.5692e5c0-6dc2-45be-a5f5-00a907c5c824,True,False,False
TCGA-AA-3841-01A-01-TS1.668b4bfe-468a-4517-90d4-601fd9395621,True,False,False
TCGA-AA-3841-01Z-00-DX1.10f98d09-027f-4495-9ad8-7c8dc49a07d7,True,False,False
TCGA-AA-3844-01A-01-BS1.1b127c9c-04a1-46ad-9cd6-fe61ef67719f,True,False,False
TCGA-AA-3844-01A-01-TS1.6a6ad054-276a-49c4-a0f2-cc609b380157,True,False,False
TCGA-AA-3844-01Z-00-DX1.bf88ce1f-0601-40c8-813e-4e3df51bd2f0,True,False,False
TCGA-AA-3846-01A-01-BS1.f7825470-fb40-4a47-924f-fb6a83cab229,True,False,False
TCGA-AA-3846-01A-01-TS1.971293f6-99c1-41f7-a268-106c9500ffb4,True,False,False
TCGA-AA-3846-01Z-00-DX1.d6233d91-4d33-424a-99c1-8173fbeb5090,True,False,False
TCGA-AA-3851-01A-01-BS1.48b72f94-ec1e-4591-a638-86306e4db32f,True,False,False
TCGA-AA-3851-01A-01-TS1.d1db2d9d-8422-48d0-87ac-6470b546cb4c,True,False,False
TCGA-AA-3854-01A-01-BS1.029bc349-2bc8-4341-bdbc-d3ea16871fb5,True,False,False
TCGA-AA-3854-01A-01-TS1.cad3e626-7ae6-43bc-b227-9cc7eafb5e97,True,False,False
TCGA-AA-3854-01Z-00-DX1.1564d865-6653-4be1-951e-ea9fab0102a7,True,False,False
TCGA-AA-3855-01A-01-BS1.1220f34f-e719-4ca8-95a6-1f6e79e65f2b,True,False,False
TCGA-AA-3855-01A-01-TS1.27ee96ac-5833-4373-b5e0-58717546ba54,True,False,False
TCGA-AA-3855-01Z-00-DX1.f305ce6c-e87c-4e68-b31e-2e6e8b52606f,True,False,False
TCGA-AA-3856-01A-01-BS1.88bb35b2-eae4-4e27-823d-641e10779f22,True,False,False
TCGA-AA-3856-01A-01-TS1.6477dda3-4021-4629-bd1d-23eee31aea87,True,False,False
TCGA-AA-3856-01Z-00-DX1.973974e7-fcfe-4866-bc0c-50645c6c304b,True,False,False
TCGA-AA-3858-01A-01-BS1.a2b4bf28-cb5b-4d60-8cdd-7770c88bc7f9,True,False,False
TCGA-AA-3858-01A-01-TS1.7ccb3c39-1a32-45fa-9fe4-72364d1ce34f,True,False,False
TCGA-AA-3858-01Z-00-DX1.6336815f-9887-4f74-a15d-78e7f6cacb59,True,False,False
TCGA-AA-3860-01A-01-BS1.360e30d9-c835-41e0-9322-65e3ef87d721,True,False,False
TCGA-AA-3860-01A-02-BS2.4ca21d2f-71c0-4aff-ae9f-94f1fa047cf2,True,False,False
TCGA-AA-3860-01Z-00-DX1.a63df9ca-6141-4bdc-8545-719fd9ae0aa5,True,False,False
TCGA-AA-3861-01A-01-BS1.1cdb3f8f-eb51-491a-8243-e3575218e2c9,True,False,False
TCGA-AA-3861-01A-01-TS1.e2a2ec3a-f6f9-42a2-8a84-cc8b0afb4c97,True,False,False
TCGA-AA-3862-01A-01-BS1.342316e0-f6ba-4bcb-8a47-4c5e9ddcf1d2,True,False,False
TCGA-AA-3862-01A-01-TS1.29e7f431-fdae-40af-88e6-61ced937931d,True,False,False
TCGA-AA-3862-01Z-00-DX1.67a0bc0d-1fe0-4c90-bb2d-5b12224cc846,True,False,False
TCGA-AA-3864-01A-01-BS1.8b7f0f78-220d-48d0-bd0f-a5b88b03b3f1,True,False,False
TCGA-AA-3864-01A-01-TS1.d86de219-b9e8-4de0-b653-968238d1c552,True,False,False
