,train,val,test
0,TCGA-AG-3732-01A-01-BS1.c557b486-12f2-4a84-ba35-50064a5ee7f1,TCGA-CM-5863-01A-01-BS1.bc288a16-6a05-4e82-9bb1-fbb20037e92d,TCGA-D5-6531-01A-01-BS1.ea053ff5-30c1-420d-a332-1efdce9500f0
1,TCGA-AG-3732-01A-01-TS1.3ecf47df-22a2-4778-acb3-22e5dc424be1,TCGA-CA-6715-01A-01-BS1.599da92d-a9c9-49bb-b9e0-0dacee40fb95,TCGA-D5-6531-01A-01-TS1.68f6c764-87c1-4093-8092-332e1e9c7d10
2,TCGA-AG-3732-11A-01-TS1.9859d29c-d6d3-48bb-a483-b924e31d1530,TCGA-CA-6715-01Z-00-DX1.d5db8085-f91a-4eee-b15f-61960af713af,TCGA-D5-6531-01Z-00-DX1.32241731-5890-424e-96d5-b897e770f03c
3,TCGA-AG-3742-01A-01-BS1.424043c8-70d9-4e72-a96a-d45c84af6a30,TCGA-AG-3890-01A-01-BS1.e832cc68-e5ad-4e37-8f5f-58db280cc269,TCGA-CM-6164-01A-01-BS1.a0d90999-f7a0-4fab-bf59-78ff1817bf07
4,TCGA-AG-3742-01A-01-TS1.a6653934-03a8-463e-b779-ac2a3376963e,TCGA-AG-3890-01A-01-TS1.75b3d947-752d-4122-9f15-26f419f51431,TCGA-CM-6164-01A-01-TS1.60a901bc-cc58-4ea8-9817-7d6237c8f71e
5,TCGA-AG-3742-11A-01-TS1.cff3afc4-36f6-4a0b-ad9c-404be1f35d9c,TCGA-AG-3890-01Z-00-DX1.662d0fee-4d6e-43c9-b7f4-767e36b22ae6,TCGA-CM-6164-01Z-00-DX1.ccf5ce96-b732-4c35-b177-d3dbe2ed89cb
6,TCGA-AG-3878-01A-01-BS1.f41cb73b-0b3c-489f-8bbf-226c029267f6,TCGA-CA-5255-01A-01-BS1.efeab2b2-c7f5-4629-82a3-a829edefa40c,TCGA-CM-4752-01A-01-BS1.f2a5b69f-8c3d-4e1e-9873-7e8c0d492562
7,TCGA-AG-3878-01A-02-BS2.c039ad68-2ddf-4cae-ab1b-1e467206cb1a,TCGA-CA-5255-01A-01-TS1.bc164be8-388d-4e5d-9e9e-f032efe9fed9,TCGA-CM-4752-01A-01-TS1.ff462100-1964-4d48-b4d3-863d532930c3
8,TCGA-AG-3878-01Z-00-DX1.e4b3b620-2fde-4b31-b1d9-0f680a19bca5,TCGA-CA-5255-01Z-00-DX1.77310ae2-9c5f-48c4-9754-c5b30d287089,TCGA-CM-4752-01Z-00-DX1.ac26d5ca-f554-4766-a4c3-f90a8c327dd4
9,TCGA-AG-3881-01A-01-BS1.47980d31-833d-45a4-9d01-a0ddf3ca84a1,TCGA-CM-6162-01A-01-BS1.1b7d2e09-76f2-45a2-9b7f-6db9e228aab3,TCGA-CM-6169-01A-01-BS1.82170e75-f008-439f-9461-7d190a4960b0
10,TCGA-AG-3881-01A-01-TS1.d2fe9b64-f8c8-46f1-abd9-87c345a5df3c,TCGA-CM-6162-01A-01-TS1.91282f06-1c60-4e94-bd25-8fd7f6b06173,TCGA-CM-6169-01A-01-TS1.efa5b8bd-be91-4a33-bdf5-07ef5a9c1040
11,TCGA-AG-3881-01Z-00-DX1.9c33e9e4-d45d-48d8-92ac-cef89814a876,TCGA-CM-6162-01Z-00-DX1.806a99a3-cda2-4dde-8d13-d22912b44d49,TCGA-CM-6169-01Z-00-DX1.0381c243-02b8-4f1d-840c-19ef44d4b92c
12,TCGA-AG-3882-01A-01-BS1.372122e4-cb62-457a-9f58-f9e278d13fad,TCGA-CI-6622-01A-01-TS1.e2679d3e-5748-4572-a578-fdbaafe653a0,TCGA-CM-4746-01A-01-BS1.c616c706-64c5-4081-82f7-9dfc0d82fd3e
13,TCGA-AG-3882-01A-01-TS1.e22b87fa-1ba5-41df-a86f-428c9e2b73a9,TCGA-CI-6622-01Z-00-DX1.58a0f078-4076-4c27-aabd-7a169ead5356,TCGA-CM-4746-01A-01-TS1.6156fc21-ee06-451f-abb6-c7da36f92a87
14,TCGA-AG-3882-01Z-00-DX1.b5c38e5d-6f16-4fdb-b01d-6c206892add4,TCGA-AG-3891-01A-01-BS1.d87c268d-6ad9-46d2-8238-4175afc760cc,TCGA-CM-4746-01Z-00-DX1.c83b9795-bf45-4100-9052-a7e485e0f770
15,TCGA-AG-3883-01A-01-BS1.4a9c2b78-fc33-452f-bfdf-685e7a4060ba,TCGA-AG-3891-01A-01-TS1.abde1001-104e-4b30-a75a-208e56c2e5a2,TCGA-AG-4022-01A-01-BS1.31b973f9-43b6-4bb6-9fae-d5f4af263683
16,TCGA-AG-3883-01A-02-BS2.b342cce7-0aeb-450f-8c19-f98bf984aa6a,TCGA-CM-6678-01A-01-BS1.7e1b10ec-65da-45ed-bddc-2376624abb46,TCGA-AG-4022-01A-01-TS1.ca4cf4ed-ab00-4d5c-8d93-4d33c7f63c69
17,TCGA-AG-3883-01Z-00-DX1.2a21ffb1-8a60-4424-b74d-4c85b7894953,TCGA-CM-6678-01A-01-TS1.f3a91215-f702-4580-875f-ccd8e3fccda3,TCGA-AG-4022-01Z-00-DX1.72c82ee1-ceb4-4247-813a-157e80cb5ab7
18,TCGA-AG-3885-01A-01-BS1.ed07475d-b171-425f-bf00-b6f4c0682285,TCGA-CM-6678-01Z-00-DX1.b0e06829-c119-4131-a2ec-22d41d8d6068,TCGA-AG-4001-01A-01-BS1.bb566b97-aa3d-4718-8854-fdbd50c5114c
19,TCGA-AG-3885-01A-01-TS1.2bfe725e-119d-424c-b72d-1118a104fe65,TCGA-CM-5868-01A-01-BS1.7c93acf9-891f-4333-b6d2-12243878fa84,TCGA-AG-4001-01A-02-BS2.bd1d53ab-dcf5-415a-bd8a-2c89d082fcac
20,TCGA-AG-3885-01Z-00-DX1.85bc7cb5-ab71-4037-85fe-df76fea4e07f,TCGA-CM-5868-01A-01-TS1.ef03933f-3d75-413d-ba1f-ccfb23dc6ac1,TCGA-AG-4001-01Z-00-DX1.1dbafe58-de6b-47a0-9b47-15c5f9401bef
