,train,val,test
0,TCGA-A7-A4SA-11A-04-BS4.122DB3B3-18EA-4229-9DF5-8DDDA811879A,TCGA-BH-A0C0-11A-02-TSB.739aaca8-b70d-4586-b134-1e18a906b24e,TCGA-BH-A1EU-11A-01-TSA.9e4d9fb6-d8b8-430c-a9a5-e6268f552202
1,TCGA-A7-A4SA-11A-04-TS4.C265C558-8EF0-4715-B794-3C032FE1184C,TCGA-E2-A1IG-11A-01-TSA.740f9016-5033-43e1-ad49-9c4675b068ec,TCGA-BH-A0DD-11A-03-TSC.ad254a5b-39c4-4320-8482-52563481172e
2,TCGA-A7-A4SA-11A-01-TS1.389F6FF1-3F8F-4EBD-A14C-19979587608D,TCGA-E2-A1IG-11A-02-TSB.5614fffa-9d12-4693-829a-fe2560467565,TCGA-BH-A0DD-11A-01-TSA.dec60ceb-0937-4ed0-8da9-095eb0c6fc04
3,TCGA-BH-A0AZ-11A-02-TSB.12588140-d8de-4ff0-9468-54c34458dc58,TCGA-D8-A1JM-01A-01-TSA.911b3a0e-2531-43c9-949d-00be87b44329,TCGA-BH-A0DD-11A-04-TSD.7d550da7-9516-4ef8-80da-39bd0c7742fb
4,TCGA-BH-A0AZ-11A-02-BSB.c66f1da4-3d99-4d67-b77a-9a1f3b7735e8,TCGA-AR-A24Q-01A-01-TSA.cca6142d-12a1-410b-b480-7de4d6f3270f,TCGA-D8-A146-01A-03-TSC.b6b31df5-0bf0-47fb-9806-b99e1357af43
5,TCGA-BH-A0BJ-11A-02-TSB.60c2f7a7-f167-46ee-bb57-cd5a307ffa0a,TCGA-BH-A209-01A-01-TSA.7ae4e111-b182-427b-8c46-726c2f94e82b,TCGA-A1-A0SJ-01A-01-TSA.c61cc926-b7df-4519-a049-1a65ec97a99c
6,TCGA-BH-A0DO-11A-02-TSB.3c04dd56-9769-4db2-ad8a-f4e2ca325bb1,TCGA-E9-A1RC-11A-03-TSC.080bd642-ef30-4f1c-bae5-29da64ce2a94,TCGA-AR-A24S-01A-01-TSA.e32c12b0-5287-4ee8-879a-3506cec825e2
7,TCGA-BH-A0DO-11A-01-TSA.687e2a08-3cfc-408f-8dd2-b6cf2fd48051,TCGA-E9-A1RC-01A-01-TSA.be1da272-f6f7-4d62-b69d-e813c60bac7a,TCGA-AR-A5QN-01A-01-TSA.9C7C7262-11B4-4EBA-93EA-2AADAC2710AD
8,TCGA-BH-A18N-11A-02-TSB.c1360bc0-7e02-4847-a9de-db90a7005bfa,TCGA-A7-A26H-01A-01-TSA.347c13da-e59c-4083-a1d1-1117d056129a,TCGA-A8-A084-01A-02-BS2.17dfc662-eae2-414b-96c7-741071b4955b
9,TCGA-BH-A18N-11A-04-TSD.dc113c2d-2491-48d2-8173-70e4ef0a7330,TCGA-BH-A0B1-01A-01-TSA.2739b8f3-4b3b-4f93-8a37-decb4367178a,TCGA-A2-A0SV-01A-01-TSA.bdab1f53-b83c-494c-9a73-487ee771adf9
